Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Global,,476374234,6111.639841,11346063,145.5642344,1608935,6108976,78.37506407,42807,0.549192102,5143
United States of America,Americas,79139385,23908.988,207078,62.561,47528,967905,292.416,5552,1.677,1335
India,South-East Asia,43016372,3117.119,12367,0.896,1685,516755,37.446,474,0.034,83
Brazil,Americas,29729991,13986.673,251952,118.533,47376,657998,309.56,2058,0.968,302
France,Europe,23903547,36752.433,757551,1164.758,148243,138273,212.599,695,1.069,124
The United Kingdom,Europe,20613821,30365.347,556037,819.075,51762,164282,241.997,646,0.952,17
Germany,Europe,19893028,23919.46,1605042,1929.909,296498,128110,154.04,1464,1.76,288
Russian Federation,Europe,17715390,12139.278,196691,134.78,25382,366618,251.221,3055,2.093,398
Turkey,Europe,14760331,17501.179,115949,137.48,16894,97598,115.721,644,0.764,77
Italy,Europe,14153098,23730.29,507264,850.522,82648,158436,265.647,994,1.667,182
Spain,Europe,11410841,24107.777,59461,125.624,0,102119,215.748,95,0.201,0
Republic of Korea,Western Pacific,11162232,21771.815,2504623,4885.241,339514,14294,27.88,2512,4.9,392
Argentina,Americas,9019660,19956.866,39288,86.928,0,127752,282.664,259,0.573,0
Viet Nam,Western Pacific,8599751,8834.884,1425328,1464.299,120000,42145,43.297,462,0.475,70
Netherlands,Europe,7665726,44036.7,280062,1608.85,39159,21851,125.526,96,0.551,15
Iran (Islamic Republic of),Eastern Mediterranean,7145877,8507.711,10158,12.094,1345,139865,166.52,478,0.569,63
Japan,Western Pacific,6238879,4932.838,271919,214.996,49063,27485,21.731,721,0.57,129
Colombia,Americas,6082226,11953.381,3739,7.348,293,139508,274.175,147,0.289,23
Indonesia,South-East Asia,5991687,2190.556,43077,15.749,4857,154463,56.472,1052,0.385,120
Poland,Europe,5933107,15630.659,58035,152.892,8231,114736,302.27,649,1.71,110
Mexico,Americas,5640305,4374.61,6600,5.119,4251,322277,249.957,205,0.159,158
Ukraine,Europe,4952913,11325.148,24881,56.892,3630,107811,246.517,334,0.764,32
Malaysia,Western Pacific,4079242,12603.479,151805,469.026,24316,34664,107.1,479,1.48,64
Australia,Western Pacific,3930953,15415.572,350381,1374.049,63107,5824,22.839,159,0.624,35
Israel,Europe,3829839,44247.252,82278,950.582,12003,10460,120.847,25,0.289,1
Czechia,Europe,3776874,35317.894,52342,489.455,7174,39495,369.321,147,1.375,12
Belgium,Europe,3771233,32729.465,58966,511.749,13,30662,266.107,123,1.067,2
South Africa,Africa,3709209,6254.073,8725,14.711,2120,99932,168.495,103,0.174,33
Philippines,Western Pacific,3675821,3354.43,3160,2.884,442,58771,53.632,891,0.813,208
Austria,Europe,3670451,41236.093,295369,3318.356,38883,14931,167.744,158,1.775,17
Peru,Americas,3543179,10746.071,4726,14.333,577,211981,642.915,320,0.971,37
Thailand,South-East Asia,3477030,4981.42,173861,249.085,26050,24648,35.312,573,0.821,69
Chile,Americas,3426147,17922.74,72888,381.289,10158,56147,293.714,11901,62.256,155
Canada,Americas,3419779,9060.9,36859,97.66,5207,37286,98.791,224,0.594,25
Portugal,Europe,3413013,33149.215,0,0,0,21342,207.286,0,0,0
Switzerland,Europe,3386444,39128.752,119803,1384.267,16,12921,149.296,50,0.578,0
Denmark,Europe,3029228,52023.893,42873,736.3,5408,5518,94.766,218,3.744,32
Greece,Europe,2884100,26907.52,151234,1410.954,22107,27125,253.066,333,3.107,42
Romania,Europe,2832024,14651.807,25143,130.08,4088,64826,335.385,245,1.268,37
Sweden,Europe,2481736,24030.158,7926,76.746,1261,18189,176.12,46,0.445,1
Iraq,Eastern Mediterranean,2316758,5759.857,1624,4.038,0,25134,62.487,15,0.037,0
Serbia,Europe,1964129,28355.892,14176,204.657,2116,15727,227.049,80,1.155,9
