Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3,day,month,Total_power_use
0.53,0.232,249.4,2.2,0,2,0,16,2,2
2.81,0.348,241.57,12.0,0,1,18,11,3,19
0.4,0.226,240.28,1.8,0,1,1,23,5,2
0.282,0.118,240.8,1.2,0,0,0,9,7,0
0.576,0.0,240.7,2.4,0,0,0,31,8,0
1.672,0.154,243.12,6.8,0,0,19,28,2,19
1.086,0.442,239.31,4.8,0,2,12,3,7,14
2.23,0.282,236.92,9.4,0,0,18,30,3,18
0.376,0.048,239.79,1.8,0,0,0,28,1,0
2.154,0.164,238.21,9.0,0,0,18,29,1,18
0.524,0.094,241.58,2.2,0,0,0,5,4,0
0.388,0.196,239.33,1.8,0,1,1,25,4,2
0.45,0.0,238.99,2.2,0,0,0,2,11,0
3.8,0.32,235.48,16.2,0,37,18,13,6,55
0.202,0.102,238.84,0.8,0,0,0,24,9,0
0.306,0.112,245.67,1.2,0,1,1,6,4,2
1.458,0.0,241.36,6.0,0,0,17,30,12,17
4.266,0.38,239.54,17.8,0,39,0,18,3,39
0.198,0.058,236.99,0.8,0,0,0,27,10,0
0.73,0.444,243.75,3.6,0,1,0,15,12,1
0.218,0.0,241.69,0.8,0,0,0,9,2,0
0.296,0.072,240.51,1.2,0,0,0,12,3,0
0.848,0.2,242.09,3.6,0,0,1,13,9,1
1.094,0.154,238.73,4.6,0,0,0,24,4,0
0.328,0.082,244.9,1.4,0,1,1,23,10,2
1.566,0.248,246.83,6.4,0,1,19,6,1,20
2.178,0.314,238.5,9.2,0,0,18,5,4,18
0.28,0.224,240.74,1.4,0,1,0,3,8,1
0.31,0.058,244.5,1.2,0,0,0,17,2,0
0.968,0.384,240.61,4.2,0,1,12,6,8,13
0.326,0.098,241.86,1.4,0,0,0,10,10,0
0.386,0.236,239.96,1.8,0,1,0,13,4,1
0.954,0.332,237.56,4.2,0,2,11,23,5,13
0.356,0.12,242.77,1.4,0,0,0,10,4,0
0.312,0.24,242.61,1.6,0,0,1,5,8,1
0.318,0.21,238.0,1.6,0,0,0,12,8,0
0.622,0.228,238.56,2.8,0,1,1,17,7,2
0.276,0.0,242.03,1.2,0,0,1,22,4,1
0.386,0.186,245.78,1.6,0,2,1,20,10,3
0.318,0.228,240.59,1.6,0,1,0,8,6,1
0.24,0.0,240.17,1.0,0,0,1,30,9,1
3.902,0.262,232.06,16.8,37,1,1,23,4,39
0.484,0.048,245.97,2.0,0,0,1,3,5,1
0.384,0.236,242.41,1.8,0,0,0,6,9,0
1.54,0.156,239.09,6.4,1,1,0,29,11,2
1.232,0.082,238.64,5.0,0,0,17,13,6,17
0.49,0.398,243.32,2.6,0,0,0,17,3,0
0.312,0.064,243.18,1.2,0,0,1,29,4,1
1.53,0.138,248.82,6.0,0,0,20,18,12,20
1.332,0.222,243.13,5.6,0,2,1,3,12,3
0.174,0.088,233.54,0.8,0,0,0,8,8,0
0.268,0.0,246.1,1.0,0,0,1,11,3,1
2.15,0.21,239.8,9.0,1,0,28,29,4,29
1.182,0.094,241.65,4.8,0,1,0,15,12,1
0.302,0.09,243.42,1.2,0,1,0,11,12,1
1.878,0.374,239.68,8.0,0,5,19,7,6,24
2.822,0.29,236.86,12.0,1,2,18,15,11,21
1.298,0.116,240.53,5.4,0,1,18,19,9,19
4.014,0.38,244.32,16.4,2,39,18,25,1,59
2.696,0.728,241.9,11.4,0,1,27,23,10,28
0.388,0.146,242.48,1.8,0,0,1,8,6,1
5.168,0.568,232.98,22.2,0,36,17,7,1,53
5.738,0.43,237.69,24.4,28,35,18,17,10,81
0.25,0.0,244.01,1.0,0,0,1,18,10,1
1.724,0.154,241.1,7.2,0,0,18,5,1,18
0.84,0.252,233.86,3.6,0,0,0,4,9,0
0.34,0.124,245.89,1.4,0,0,1,9,1,1
0.44,0.0,244.62,1.8,0,0,0,24,12,0
0.354,0.128,238.45,1.6,0,0,0,15,4,0
0.128,0.0,244.55,0.4,0,0,1,29,9,1
0.226,0.118,240.39,1.0,0,0,0,6,7,0
0.262,0.0,243.97,1.6,0,0,1,5,7,1
0.324,0.104,240.65,1.4,0,0,0,22,6,0
0.352,0.226,242.09,1.6,0,1,0,6,9,1
0.296,0.0,248.5,1.4,0,0,0,6,1,0
2.866,0.098,233.28,12.2,0,1,17,11,1,18
1.512,0.054,241.56,7.2,0,0,0,10,2,0
1.522,0.106,241.07,6.2,0,0,18,2,4,18
0.306,0.084,241.8,1.2,0,1,1,27,11,2
2.378,0.338,240.63,10.0,0,1,18,3,7,19
0.84,0.12,242.78,3.4,0,1,0,11,10,1
3.29,0.108,239.08,13.6,1,0,19,9,9,20
0.368,0.092,243.19,1.6,0,0,0,4,11,0
1.21,0.106,234.43,5.2,0,0,17,6,8,17
0.378,0.174,240.53,1.6,0,0,0,4,10,0
0.558,0.224,240.73,2.8,0,0,4,3,8,4
0.342,0.106,242.77,1.4,0,0,0,12,3,0
0.278,0.094,230.27,1.4,0,0,0,20,7,0
1.31,0.1,239.92,5.4,0,0,18,29,7,18
0.6,0.102,238.03,2.4,0,0,0,24,6,0
1.098,0.276,245.15,5.6,8,2,0,24,9,10
1.516,0.166,244.41,6.2,0,0,0,27,12,0
0.424,0.108,242.26,1.8,0,0,0,4,11,0
1.346,0.0,244.97,5.4,0,0,19,22,10,19
0.742,0.342,238.71,3.4,0,1,0,1,7,1
0.334,0.232,240.08,1.6,0,1,1,28,7,2
0.31,0.06,241.92,1.2,0,0,1,2,11,1
0.358,0.112,245.63,1.4,0,0,1,25,1,1
1.878,0.108,241.24,7.8,1,0,0,9,3,1
1.304,0.0,241.48,5.4,0,0,0,21,4,0
0.396,0.164,241.47,1.8,0,0,0,29,4,0
2.488,0.398,237.59,10.6,0,2,29,21,6,31
0.23,0.0,243.61,0.8,0,0,0,23,11,0
5.516,0.146,233.35,23.8,1,21,17,22,2,39
1.044,0.208,242.38,4.4,0,0,1,12,5,1
0.284,0.0,241.76,1.2,0,0,0,31,8,0
1.508,0.07,239.8,6.2,0,0,19,25,2,19
2.28,0.426,240.13,10.4,31,1,0,3,4,32
1.618,0.336,238.66,6.8,0,0,11,11,4,11
0.238,0.07,240.9,1.0,0,0,0,2,10,0
0.978,0.132,238.09,4.0,0,1,0,5,2,1
1.592,0.0,240.12,6.6,0,0,18,17,3,18
0.212,0.142,244.04,1.0,0,0,0,25,8,0
1.896,0.21,238.15,8.0,0,0,11,27,5,11
0.158,0.122,240.74,0.8,0,0,1,27,8,1
0.244,0.13,242.96,1.0,0,0,0,30,6,0
1.394,0.076,241.68,5.6,0,2,18,27,11,20
