Date,Time,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3
16/2/2010,04:27:00,0.530,0.232,249.400,2.200,0.000,2.000,0.0
11/3/2008,06:48:00,2.810,0.348,241.570,12.000,0.000,1.000,18.0
23/5/2009,02:06:00,0.400,0.226,240.280,1.800,0.000,1.000,1.0
9/7/2009,02:24:00,0.282,0.118,240.800,1.200,0.000,0.000,0.0
31/8/2010,14:36:00,0.576,0.000,240.700,2.400,0.000,0.000,0.0
28/2/2009,12:45:00,1.672,0.154,243.120,6.800,0.000,0.000,19.0
3/7/2008,13:10:00,1.086,0.442,239.310,4.800,0.000,2.000,12.0
30/3/2010,07:33:00,2.230,0.282,236.920,9.400,0.000,0.000,18.0
28/1/2008,18:00:00,0.376,0.048,239.790,1.800,0.000,0.000,0.0
29/1/2007,07:58:00,2.154,0.164,238.210,9.000,0.000,0.000,18.0
5/4/2009,17:48:00,0.524,0.094,241.580,2.200,0.000,0.000,0.0
25/4/2008,22:04:00,0.388,0.196,239.330,1.800,0.000,1.000,1.0
2/11/2008,19:30:00,0.450,0.000,238.990,2.200,0.000,0.000,0.0
13/6/2008,14:23:00,3.800,0.320,235.480,16.200,0.000,37.000,18.0
24/9/2009,16:03:00,0.202,0.102,238.840,0.800,0.000,0.000,0.0
6/4/2010,02:39:00,0.306,0.112,245.670,1.200,0.000,1.000,1.0
30/12/2008,12:56:00,1.458,0.000,241.360,6.000,0.000,0.000,17.0
18/3/2007,07:22:00,4.266,0.380,239.540,17.800,0.000,39.000,0.0
27/10/2008,08:19:00,0.198,0.058,236.990,0.800,0.000,0.000,0.0
15/12/2007,12:51:00,0.730,0.444,243.750,3.600,0.000,1.000,0.0
9/2/2008,01:29:00,0.218,0.000,241.690,0.800,0.000,0.000,0.0
12/3/2008,04:38:00,0.296,0.072,240.510,1.200,0.000,0.000,0.0
13/9/2008,23:12:00,0.848,0.200,242.090,3.600,0.000,0.000,1.0
24/4/2008,22:18:00,1.094,0.154,238.730,4.600,0.000,0.000,0.0
23/10/2010,05:08:00,0.328,0.082,244.900,1.400,0.000,1.000,1.0
6/1/2010,09:56:00,1.566,0.248,246.830,6.400,0.000,1.000,19.0
5/4/2008,17:02:00,2.178,0.314,238.500,9.200,0.000,0.000,18.0
3/8/2009,08:29:00,0.280,0.224,240.740,1.400,0.000,1.000,0.0
17/2/2009,17:04:00,0.310,0.058,244.500,1.200,0.000,0.000,0.0
6/8/2008,00:12:00,0.968,0.384,240.610,4.200,0.000,1.000,12.0
10/10/2007,02:51:00,0.326,0.098,241.860,1.400,0.000,0.000,0.0
13/4/2007,00:08:00,0.386,0.236,239.960,1.800,0.000,1.000,0.0
23/5/2008,05:08:00,0.954,0.332,237.560,4.200,0.000,2.000,11.0
10/4/2009,05:49:00,0.356,0.120,242.770,1.400,0.000,0.000,0.0
5/8/2009,23:46:00,0.312,0.240,242.610,1.600,0.000,0.000,1.0
12/8/2010,06:00:00,0.318,0.210,238.000,1.600,0.000,0.000,0.0
17/7/2010,21:50:00,0.622,0.228,238.560,2.800,0.000,1.000,1.0
22/4/2008,05:49:00,0.276,0.000,242.030,1.200,0.000,0.000,1.0
20/10/2009,23:53:00,0.386,0.186,245.780,1.600,0.000,2.000,1.0
8/6/2008,09:28:00,0.318,0.228,240.590,1.600,0.000,1.000,0.0
30/9/2008,12:19:00,0.240,0.000,240.170,1.000,0.000,0.000,1.0
23/4/2008,21:21:00,3.902,0.262,232.060,16.800,37.000,1.000,1.0
3/5/2009,14:24:00,0.484,0.048,245.970,2.000,0.000,0.000,1.0
6/9/2009,05:51:00,0.384,0.236,242.410,1.800,0.000,0.000,0.0
29/11/2008,20:08:00,1.540,0.156,239.090,6.400,1.000,1.000,0.0
13/6/2007,01:29:00,1.232,0.082,238.640,5.000,0.000,0.000,17.0
17/3/2009,17:13:00,0.490,0.398,243.320,2.600,0.000,0.000,0.0
29/4/2010,15:42:00,0.312,0.064,243.180,1.200,0.000,0.000,1.0
18/12/2009,15:01:00,1.530,0.138,248.820,6.000,0.000,0.000,20.0
21/3/2010,13:06:00,?,?,?,?,?,?,
3/12/2009,17:52:00,1.332,0.222,243.130,5.600,0.000,2.000,1.0
8/8/2007,05:55:00,0.174,0.088,233.540,0.800,0.000,0.000,0.0
11/3/2010,05:28:00,0.268,0.000,246.100,1.000,0.000,0.000,1.0
29/4/2009,13:11:00,2.150,0.210,239.800,9.000,1.000,0.000,28.0
15/12/2007,21:42:00,1.182,0.094,241.650,4.800,0.000,1.000,0.0
11/12/2007,01:40:00,0.302,0.090,243.420,1.200,0.000,1.000,0.0
7/6/2008,12:29:00,1.878,0.374,239.680,8.000,0.000,5.000,19.0
15/11/2008,16:41:00,2.822,0.290,236.860,12.000,1.000,2.000,18.0
19/9/2008,07:55:00,1.298,0.116,240.530,5.400,0.000,1.000,18.0
25/1/2009,15:04:00,4.014,0.380,244.320,16.400,2.000,39.000,18.0
23/10/2010,12:21:00,2.696,0.728,241.900,11.400,0.000,1.000,27.0
8/6/2009,11:07:00,0.388,0.146,242.480,1.800,0.000,0.000,1.0
7/1/2007,18:21:00,5.168,0.568,232.980,22.200,0.000,36.000,17.0
17/10/2009,16:12:00,5.738,0.430,237.690,24.400,28.000,35.000,18.0
18/10/2008,05:39:00,0.250,0.000,244.010,1.000,0.000,0.000,1.0
5/1/2007,23:52:00,1.724,0.154,241.100,7.200,0.000,0.000,18.0
4/9/2008,20:24:00,0.840,0.252,233.860,3.600,0.000,0.000,0.0
9/1/2010,03:18:00,0.340,0.124,245.890,1.400,0.000,0.000,1.0
24/12/2008,16:14:00,0.440,0.000,244.620,1.800,0.000,0.000,0.0
15/4/2008,19:10:00,0.354,0.128,238.450,1.600,0.000,0.000,0.0
29/9/2009,23:12:00,0.128,0.000,244.550,0.400,0.000,0.000,1.0
6/7/2007,14:17:00,0.226,0.118,240.390,1.000,0.000,0.000,0.0
5/7/2010,10:33:00,0.262,0.000,243.970,1.600,0.000,0.000,1.0
15/11/2010,09:50:00,1.342,0.0,236.18,5.6,0.0,2.0,17.0
22/6/2009,19:15:00,0.324,0.104,240.650,1.400,0.000,0.000,0.0
6/9/2009,07:32:00,0.352,0.226,242.090,1.600,0.000,1.000,0.0
6/1/2009,04:22:00,0.296,0.000,248.500,1.400,0.000,0.000,0.0
11/1/2007,20:57:00,2.866,0.098,233.280,12.200,0.000,1.000,17.0
10/2/2008,08:46:00,1.512,0.054,241.560,7.200,0.000,0.000,0.0
2/4/2008,08:33:00,1.522,0.106,241.070,6.200,0.000,0.000,18.0
27/11/2009,00:33:00,0.306,0.084,241.800,1.200,0.000,1.000,1.0
3/7/2010,23:24:00,2.378,0.338,240.630,10.000,0.000,1.000,18.0
11/10/2008,23:00:00,0.840,0.120,242.780,3.400,0.000,1.000,0.0
9/9/2009,21:34:00,3.290,0.108,239.080,13.600,1.000,0.000,19.0
4/11/2008,03:13:00,0.368,0.092,243.190,1.600,0.000,0.000,0.0
6/8/2007,02:01:00,1.210,0.106,234.430,5.200,0.000,0.000,17.0
4/10/2007,05:19:00,0.378,0.174,240.530,1.600,0.000,0.000,0.0
3/8/2010,03:50:00,0.558,0.224,240.730,2.800,0.000,0.000,4.0
12/3/2009,03:20:00,0.342,0.106,242.770,1.400,0.000,0.000,0.0
20/7/2007,15:59:00,0.278,0.094,230.270,1.400,0.000,0.000,0.0
29/7/2010,07:53:00,1.310,0.100,239.920,5.400,0.000,0.000,18.0
24/6/2007,14:33:00,0.600,0.102,238.030,2.400,0.000,0.000,0.0
24/9/2008,23:06:00,1.098,0.276,245.150,5.600,8.000,2.000,0.0
27/12/2008,08:11:00,1.516,0.166,244.410,6.200,0.000,0.000,0.0
4/11/2007,15:32:00,0.424,0.108,242.260,1.800,0.000,0.000,0.0
22/10/2009,10:06:00,1.346,0.000,244.970,5.400,0.000,0.000,19.0
1/7/2010,18:11:00,0.742,0.342,238.710,3.400,0.000,1.000,0.0
28/7/2010,13:04:00,0.334,0.232,240.080,1.600,0.000,1.000,1.0
2/11/2009,03:46:00,0.310,0.060,241.920,1.200,0.000,0.000,1.0
25/1/2010,02:37:00,0.358,0.112,245.630,1.400,0.000,0.000,1.0
9/3/2009,21:37:00,1.878,0.108,241.240,7.800,1.000,0.000,0.0
21/4/2009,02:45:00,1.304,0.000,241.480,5.400,0.000,0.000,0.0
29/4/2008,05:04:00,0.396,0.164,241.470,1.800,0.000,0.000,0.0
21/6/2008,15:27:00,2.488,0.398,237.590,10.600,0.000,2.000,29.0
23/11/2009,04:24:00,0.230,0.000,243.610,0.800,0.000,0.000,0.0
22/2/2007,21:50:00,5.516,0.146,233.350,23.800,1.000,21.000,17.0
12/5/2008,21:24:00,1.044,0.208,242.380,4.400,0.000,0.000,1.0
31/8/2007,02:38:00,0.284,0.000,241.760,1.200,0.000,0.000,0.0
25/2/2010,11:57:00,1.508,0.070,239.800,6.200,0.000,0.000,19.0
3/4/2007,18:43:00,2.280,0.426,240.130,10.400,31.000,1.000,0.0
11/4/2010,20:18:00,1.618,0.336,238.660,6.800,0.000,0.000,11.0
2/10/2010,02:43:00,0.238,0.070,240.900,1.000,0.000,0.000,0.0
5/2/2007,19:41:00,0.978,0.132,238.090,4.000,0.000,1.000,0.0
17/3/2009,07:17:00,1.592,0.000,240.120,6.600,0.000,0.000,18.0
5/11/2010,21:06:00,2.546,0.156,243.17,10.4,0.0,1.0,19.0
25/8/2007,08:07:00,0.212,0.142,244.040,1.000,0.000,0.000,0.0
27/5/2010,21:24:00,1.896,0.210,238.150,8.000,0.000,0.000,11.0
27/8/2008,01:38:00,0.158,0.122,240.740,0.800,0.000,0.000,1.0
30/6/2009,01:46:00,0.244,0.130,242.960,1.000,0.000,0.000,0.0
22/11/2010,23:51:00,0.25,0.048,242.17,1.2,0.0,0.0,0.0
27/11/2009,22:53:00,1.394,0.076,241.680,5.600,0.000,2.000,18.0
31/1/2009,10:34:00,1.778,0.158,240.120,7.400,0.000,2.000,18.0
6/1/2007,15:53:00,0.832,0.000,241.250,3.600,0.000,0.000,0.0
14/1/2010,04:56:00,?,?,?,?,?,?,
29/6/2010,15:37:00,0.986,0.294,241.860,4.200,0.000,0.000,13.0
