Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3,day,month,Total_power_use
0.312,0.062,242.6,1.2,0,0,1,2,11,1
0.87,0.186,243.51,3.6,0,0,13,5,9,13
1.546,0.278,239.99,6.4,0,1,18,19,4,19
0.614,0.0,236.88,2.6,1,0,0,14,10,1
1.328,0.146,243.24,5.4,0,0,1,13,5,1
0.246,0.14,240.63,1.2,0,2,1,26,5,3
0.366,0.144,245.39,1.6,0,0,0,14,3,0
0.718,0.188,241.56,3.0,0,0,1,11,10,1
3.924,0.048,237.66,16.6,0,15,17,17,6,32
0.294,0.07,245.48,1.2,0,1,0,6,12,1
1.978,0.084,244.21,8.0,0,1,18,13,2,19
0.244,0.0,244.64,1.0,0,0,1,10,1,1
1.452,0.094,243.9,5.8,2,0,19,14,6,21
2.592,0.0,239.34,10.8,0,0,0,3,2,0
0.59,0.064,241.39,2.8,0,0,0,30,10,0
0.998,0.24,240.76,4.4,0,2,0,23,11,2
0.404,0.0,245.42,1.8,0,0,0,13,1,0
3.138,0.054,237.25,13.2,0,0,18,17,1,18
1.568,0.0,244.93,6.4,0,0,19,16,2,19
1.372,0.0,240.33,5.6,1,0,18,26,4,19
0.178,0.096,240.84,0.8,0,1,0,21,6,1
0.3,0.068,243.19,1.2,0,0,1,12,10,1
1.386,0.046,242.59,5.6,0,0,18,8,10,18
0.254,0.0,243.56,1.0,0,0,0,13,5,0
1.514,0.152,242.82,6.2,0,0,0,24,11,0
0.684,0.054,241.32,2.8,0,2,0,8,6,2
0.17,0.14,240.34,0.8,0,2,1,26,8,3
0.248,0.0,243.39,1.0,0,0,1,10,12,1
1.694,0.0,239.62,7.0,1,0,18,14,10,19
0.264,0.054,243.52,1.2,0,0,0,4,12,0
0.422,0.078,242.61,1.8,0,0,0,13,12,0
0.242,0.246,238.74,1.4,0,0,1,7,8,1
1.736,0.15,241.91,7.2,1,0,0,15,1,1
3.046,0.392,238.43,12.8,0,1,17,9,10,18
1.3,0.076,232.8,5.6,0,0,17,4,8,17
0.18,0.16,243.68,1.0,0,0,1,20,8,1
1.904,0.092,243.88,7.8,0,1,18,4,1,19
0.394,0.194,241.56,1.8,0,0,0,24,10,0
1.508,0.0,241.96,6.4,0,0,0,16,2,0
2.606,0.172,243.01,10.6,0,0,29,21,4,29
0.242,0.086,241.74,1.0,0,0,1,12,6,1
0.546,0.076,240.0,2.2,0,1,0,16,5,1
2.352,0.0,243.72,9.8,0,22,1,29,4,23
1.38,0.0,239.17,5.6,0,0,18,5,4,18
0.186,0.0,240.96,0.8,0,0,1,20,7,1
0.912,0.206,242.55,3.8,1,1,0,1,1,2
1.852,0.158,243.99,7.6,0,0,18,1,2,18
0.736,0.186,241.58,3.2,0,1,0,12,1,1
4.008,0.402,231.63,17.4,1,32,17,27,5,50
1.828,0.066,241.21,7.4,0,1,18,19,10,19
2.066,0.08,239.17,9.4,0,0,18,30,3,18
0.468,0.238,246.94,2.2,0,0,0,27,1,0
0.352,0.286,238.39,1.8,0,1,0,2,8,1
4.164,0.086,235.57,17.8,0,0,17,11,2,17
1.426,0.16,240.23,6.0,0,1,18,11,9,19
0.082,0.0,241.03,0.2,0,0,0,28,8,0
1.52,0.104,241.0,6.2,0,0,18,7,12,18
0.342,0.23,241.47,1.6,0,1,1,16,7,2
0.188,0.062,242.34,0.8,0,0,0,11,7,0
1.828,0.066,236.65,7.6,0,0,17,27,11,17
1.346,0.082,239.3,5.6,0,1,18,27,2,19
0.318,0.19,244.1,1.6,0,0,0,11,1,0
2.956,0.566,237.72,12.6,1,1,18,13,5,20
0.666,0.264,245.62,2.8,0,2,1,7,12,3
0.414,0.23,239.91,2.0,0,1,1,26,4,2
1.366,0.088,238.85,5.6,0,0,18,4,6,18
1.6,0.068,241.54,6.6,0,0,0,30,10,0
0.14,0.0,244.03,0.6,0,0,0,24,6,0
0.3,0.0,243.84,1.4,0,0,0,16,9,0
3.072,0.068,237.03,12.8,0,0,17,9,11,17
0.734,0.216,236.35,3.2,0,2,1,25,5,3
1.652,0.152,238.51,7.0,0,2,0,21,11,2
0.946,0.0,244.01,3.8,0,0,1,9,7,1
0.306,0.078,244.16,1.2,0,1,0,29,3,1
0.232,0.128,242.38,1.0,0,0,1,4,7,1
0.268,0.186,238.75,1.4,0,1,0,13,9,1
0.342,0.11,245.13,1.4,0,1,0,19,2,1
0.294,0.102,243.5,1.2,0,1,0,29,9,1
1.278,0.0,238.72,5.2,0,0,18,4,9,18
0.226,0.0,244.03,1.0,0,0,0,23,2,0
0.99,0.268,241.6,4.2,0,0,12,8,7,12
0.24,0.128,241.4,1.0,0,0,1,22,8,1
0.666,0.102,239.14,2.8,0,2,0,2,6,2
0.246,0.106,238.47,1.0,0,0,0,29,7,0
0.276,0.064,251.15,1.2,0,0,0,21,12,0
2.85,0.296,240.03,12.0,0,0,29,30,5,29
2.266,0.32,238.3,9.6,0,0,18,26,9,18
1.832,0.182,238.74,7.6,0,2,18,24,5,20
0.538,0.35,241.5,2.6,0,1,0,14,5,1
0.236,0.0,244.42,1.0,0,0,1,9,4,1
2.034,0.396,238.74,8.6,0,0,0,10,1,0
0.308,0.096,241.07,1.4,0,2,1,19,8,3
0.292,0.0,242.88,1.4,0,0,0,31,3,0
0.338,0.204,240.99,1.6,0,0,1,5,6,1
1.322,0.0,242.04,5.4,0,0,19,1,7,19
1.758,0.0,240.83,7.4,0,0,0,4,3,0
0.326,0.212,240.14,1.6,0,0,1,30,7,1
0.424,0.0,241.27,1.8,0,0,0,12,3,0
2.04,0.098,242.39,8.4,0,0,0,11,3,0
0.238,0.13,242.83,1.0,0,0,1,4,7,1
0.994,0.28,246.47,4.2,0,0,0,30,11,0
0.456,0.126,241.07,2.2,0,0,0,29,7,0
1.548,0.0,241.29,6.4,0,0,18,31,12,18
1.378,0.0,241.87,5.8,0,1,0,19,2,1
0.216,0.064,240.14,1.0,0,0,1,20,7,1
0.544,0.23,244.53,2.4,0,0,0,10,1,0
2.264,0.236,239.83,10.0,8,0,18,27,2,26
0.338,0.046,241.24,1.4,0,0,0,7,1,0
1.456,0.0,244.22,6.0,0,0,18,25,1,18
3.408,0.194,230.65,14.8,0,34,16,17,5,50
1.542,0.052,244.01,6.2,0,0,18,29,1,18
0.306,0.164,240.86,1.4,0,1,1,10,9,2
0.244,0.118,239.85,1.0,0,0,1,23,7,1
0.498,0.086,244.33,2.2,0,0,0,30,11,0
1.52,0.092,240.77,6.8,0,0,0,8,4,0
0.324,0.102,242.4,1.4,0,0,0,6,2,0
0.23,0.0,248.31,1.0,0,0,0,25,1,0
2.528,0.056,244.33,11.4,21,0,18,8,1,39
1.824,0.104,244.28,7.4,0,0,18,6,1,18
0.442,0.204,240.34,2.0,0,0,1,26,4,1
0.398,0.112,242.52,1.8,0,0,0,5,4,0
0.208,0.062,244.24,0.8,0,0,0,31,12,0
3.89,0.184,237.29,16.6,0,0,17,23,10,17
0.314,0.126,242.14,1.4,0,0,0,3,3,0
