,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3,day,month,Total_power_use
0,0.246,0.076,246.66,1.0,0,0,0,7,12,0
1,0.61,0.152,233.27,2.8,0,0,0,27,5,0
2,0.848,0.0,236.38,3.6,0,0,0,3,6,0
3,0.216,0.0,241.19,0.8,0,0,0,13,3,0
4,0.312,0.264,242.21,1.6,0,1,0,20,4,1
5,3.336,0.28,234.7,14.8,22,0,17,24,3,39
6,0.59,0.22,241.92,2.6,0,0,1,23,5,1
7,1.578,0.378,240.16,6.8,2,1,0,30,7,3
8,2.198,0.102,237.35,9.2,0,2,17,10,2,19
9,0.158,0.0,242.9,0.6,0,0,1,4,8,1
10,2.634,0.1,239.13,11.2,0,0,18,7,11,18
11,2.786,0.09,231.6,12.0,36,0,0,23,7,36
12,0.508,0.07,236.89,2.4,0,0,0,19,5,0
13,0.562,0.096,241.83,2.8,0,0,8,1,9,8
14,0.24,0.054,242.51,1.0,0,0,0,11,9,0
15,0.226,0.11,236.88,1.0,0,0,0,29,6,0
16,0.804,0.0,244.77,3.8,0,0,5,10,4,5
17,0.39,0.248,240.03,2.0,0,1,1,3,7,2
18,0.894,0.106,241.48,3.6,0,0,11,24,5,11
19,0.288,0.072,245.7,1.2,0,0,0,26,12,0
20,1.086,0.08,238.61,4.4,0,1,1,5,10,2
21,1.292,0.09,244.0,5.2,0,2,18,14,7,20
22,0.282,0.0,241.34,1.2,0,0,0,7,2,0
23,0.492,0.0,245.0,2.4,0,0,0,24,1,0
24,0.182,0.062,243.27,0.8,0,0,1,13,9,1
25,0.246,0.12,234.99,1.2,0,2,0,29,5,2
26,1.272,0.068,228.62,5.4,0,0,17,26,5,17
27,0.206,0.0,243.04,1.0,0,0,1,10,6,1
28,0.414,0.212,241.93,1.8,0,1,0,5,5,1
29,0.386,0.114,245.65,1.6,0,0,0,31,3,0
30,0.38,0.354,241.56,2.0,0,2,0,22,8,2
31,0.572,0.07,241.43,2.4,0,0,0,30,11,0
32,0.71,0.11,242.54,3.0,1,0,0,20,7,1
33,3.844,0.23,234.72,16.4,37,1,17,17,12,55
34,0.252,0.0,240.25,1.2,0,0,0,21,11,0
35,0.38,0.116,243.31,1.6,0,0,0,5,1,0
36,1.33,0.068,238.24,5.6,0,0,18,31,7,18
37,2.408,0.172,241.67,10.4,0,21,0,21,1,21
38,0.338,0.174,242.37,1.6,0,0,1,7,9,1
39,0.226,0.066,242.01,1.2,0,0,1,27,5,1
40,0.426,0.196,245.69,1.8,0,1,0,13,3,1
41,1.416,0.086,241.77,5.8,0,0,19,23,2,19
42,0.55,0.238,241.97,2.6,0,0,1,30,5,1
43,0.312,0.116,242.6,1.4,0,0,0,2,2,0
44,0.408,0.132,243.84,1.6,0,1,1,19,7,2
45,2.048,0.094,236.67,8.6,0,2,17,6,9,19
46,0.364,0.068,247.15,1.4,0,0,0,27,1,0
47,0.472,0.154,240.66,2.2,0,0,1,16,4,1
48,1.83,0.546,240.87,7.8,0,0,18,10,3,18
49,0.224,0.0,243.19,1.2,0,0,1,31,7,1
50,0.284,0.082,241.55,1.2,0,0,0,6,6,0
51,1.318,0.216,239.81,5.4,0,0,18,15,6,18
52,0.31,0.194,237.79,1.4,0,2,1,24,7,3
53,1.868,0.318,241.13,7.8,0,3,17,24,12,20
54,0.154,0.0,241.4,0.6,0,0,1,30,7,1
55,1.514,0.198,238.22,6.4,0,1,18,13,5,19
56,0.166,0.094,239.73,0.8,0,2,0,18,6,2
57,2.086,0.0,243.27,8.6,0,0,18,15,1,18
58,0.248,0.0,246.82,1.0,0,0,0,13,12,0
59,2.008,0.13,240.65,8.8,0,0,8,7,12,8
60,1.88,0.312,240.7,8.6,10,2,0,15,4,12
61,1.136,0.21,248.96,4.8,0,14,0,16,12,14
62,1.232,0.0,237.66,5.2,0,0,18,23,9,18
63,1.292,0.0,243.29,5.2,0,0,19,19,12,19
64,0.3,0.224,243.8,1.4,0,2,1,30,7,3
65,0.32,0.1,244.3,1.4,0,0,1,6,3,1
